参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
有無方法可以搵到group mate email,一般prof唔係會有同學student id㗎咩,"BTW呢個function 係for你哋第一次話比同學知自己嘅聯絡方法。只可以寄出+收message唔包reply, 所以無得直接reply blackboard 出嘅email 㗎！",Thxxxxxx,1,6,,,,,
exchange問題,唔去,我想問啱啱收到外國個邊嘅課程時間表，有兩科撞咗時間，唔夠9 credit 可以trans，除咗無GEO的資助，有機會翻來要defer，儘應唔應該去？,唔係 4 5科都好common,2,13,,,,,
開元係唔係最摺嘅hall,+1 !,我都開元,派左開元，幾多成大陸，調hall係咪冇機🤥,2,18,,,,,
想知排soc發生咩事,無下莊(?,,,,,,,,1,1
開元係唔係冧咗莊？,開元已淪陷 現為NDS殖民地,pm,冇野玩😂 我可以pm講多少少,1,11,,,,,
__,9000一個月？我可以賣晒全年俾你🤑🤑,起碼唔洗每日搭5個鐘頭車同船,7500-9000都係可接受範圍,2,4,,,買賣Hall值幾錢一個月,,
"徵￼女hall offer, 薄酬￼","Please WhatsApp 6310 7561 with your acceptable price, thank you so much",有女hall offer,想徵收男hall offer 舊hall,1,6,,,,,
放女新hall offer,Push,Pm,Pm,1,10,,,,,
__,如題，topic可以一齊discuss,,,,,,,有冇人想AF FYP組隊,2,1
__,成德想轉物華🙋🏻‍♀️,住落係為咗轉其他 hall,要成德有人 quit 先得,9,32,,,"下年Year 4 想住hall, 求推介",,
依家 poly 仲有冇 ESA？,上年仲喺度，今年唔見佢哋上莊唔見佢哋搞 ocamp。咁下年讀 engine 或者 comp 咪得返自己 dept 嘅 ocamp 玩？唔會有大 O 啦,,,,,,,,1,1
相認：下年sem2 Uk exchange Exeter,🤚🏻,pm左你！,,,,1,5,,,
Hall,事關想買床單，但係唔知買幾大😂,203cm x 81cm,唔會掂到床尾 不過差少少就撞🤣🤣,1,5,,,,,
收 fun with language source🤤,Pm,Pm,"I have, pm me",1,3,,,,,
冇hall offer,我有,點算🥲🥲🥲🥲🥲,,,,1,2,,,
出左下年hall offer result未,唔係,有offer嘅係咪都係year4?,有冇人冇寫邊間hall?,1,18,,,,,
有冇人想af組隊fyp,pm,其實讀商科使乜識做research，識賺錢咪得囉。,pm,1,5,,,,,
好奇大家Fyp嘅topic 係自己擇定department擇,多謝糾正~ 但係goop好似無得改返嗰錯字， 我會update多一個選項係正字版本☺️,揀(梘)       擇(摘)我都覺得好礙眼,擇日子？Fyp唔係department會提供一堆題目比你擇？然後如果你對某題目有興趣就同professor 聯絡，然後professor會interview你。如果覺得你ok就會比你擇佢嗰topic。,1,16,,,,,
眼仔 quiz,pm,Pm,25/題，最少10題,2,11,,,,,
有冇人下年sem2去sweden,可以啊！,開group maaa?,我係Lund!,1,6,,,,,
放 男新hall offer,pm,Pm,Pm,1,5,,,,,
PolyU BTMS 最後一屆幾多人可以上番senior,今年好似比上年多少少，整體gpa 較高,,,,,,,,1,1
放 ME1D02 A+ source,"100% 自己嘅source, 可以解答其他問題",push,pm,1,25,,,,,
放APSS1C33C History of HK,Pm,Pm,pm,1,5,,,,,
Exchange credit transfer,Ask your department la,想問問大家喺邊度搵有咩科可以trans🙏🏻感謝,,,,1,2,,,
af fyp instructor,有冇人知邊個好啲？,,,,,,,,1,1
求各位幫幫手做fyp questionnaire！差30份咋,https://qfreeaccountssjc1.az1.qualtrics.com/jfe/form/SV_3NSUlfbW2sWwPoa最緊要第一題填yes 之後嗰啲隨心答就OK 唔該晒大家！🫶🙏🙏🙏🙏,,,,,,,,1,1
平放me1d02 source,pm！,pm,Pm,1,13,,,,,
ME1D02 Grade,pm！,pm！,A+ easy,1,4,,,,,
有冇人下年sem2去荷蘭,Hiii!!!,有冇人係University of Twente?,,,,1,12,,,
放History of HK CR A range,Hi,Hi,pm,1,5,,,,,
Wie 一問,Up,做完公司都未必肯蓋印,同問,1,4,,,,,
放C Law A range sources,意pm,意pm,意pm,1,7,,,,,
late drop,可以拎埋d相關證明去你o個科o既department general office度問下d staff，佢哋一定知點做Email 問o既話可能5reply,出咗result唔知仲drop唔drop到喎一日未考exam都仲有機會 所以樓主可以試下,介唔介意pm教下路點drop，我今個sem有family issue F咗幾科想late drop(有文件支持) 但又唔知點申請 estudent又冇,1,5,,,,,
好奇下呢度會唔會有人傾電話￼,2333 0600,8177 7778,,,,1,2,,,
有冇人遇過SD附近有人講英文叫你返教會？,系唔系要同你玩sm,喺American diner出面撞過 話咩玩小遊戲,有d煩，已經拒絕左3，4次,1,3,,,,,
有冇人想打排球？,Hi ching can pm me link? Can’t pm u,Pm,,,,3,49,,,
收AF4320 Corp finance source,"Pm 齊mt,exam同present",pm,如題thx,2,3,,,,,
__,push,禁火圈,pm,1,4,,,放BSE source,,
平放claw book,Pm,放15th edition,Pm,1,20,,,,,
Wie一問,唔消楚咪email wie 個邊問問囉,應該得,想問summer trainee program 係咪等於summer internship?FB嘅話可5可以count wie?,3,,,,,,
AF5312,AF5315係唔係Walid Saffar教？,問緊咩？,master course?,1,3,,,,,
放 claw 15th edition,我有15th edition,Pm,重有冇人放緊 company law 15th 書？🙏🏻,1,6,,,,,
放company law book,放15th edition,Pm,放15th edition,1,12,,,,,
放 CC1M38P A sources同埋 商科,pm,push,pm,1,8,,,,,
收c law 15th edition 書,禁信封,,,,,,,,1,11
放claw書,淨係Highlight過notes重點,Done,實體紙本書,1,5,,,,,
放fun with language A source,Pm,Pm,pm🥹🙏🏻,2,27,,,,,
有冇c law 15th book 可放？可收300,放15th edition,Physical book,系唔系Ebook?,1,15,,,,,
平放韓文書 CBS2631,有興pm,,,,,,,,1,1
收Claw E book,Pm,350收C law E book,,,,1,2,,,
$300 收 c law 書,Pm,樓主here,,,,1,2,,,
放Company Law source,pm,Pm,有意pm,1,34,,,,,
收c law書,Pm,Pm,15th edition,1,5,,,,,
收life and death Source,Pm,有a range,,,,4,62,,,
我地係教授既衣食父母,Wo xiang yao yi tiao di tan,已舉報,同学，我想要一条地毯,2,5,,,,,
有冇人夾單買畢業袍？,"Faculty of Science, 金色邊畢業袍，有意租／買 請pm~",,,,,,,,2,14
放A- CC1C04P source 有意pm,Pm,Pm,想要 pm,7,,,,,,
平放af anf source 已grad,Pm,Pm,意pm,1,15,,,,,
有無人放CC1C04P/CBS2C04P,想要cc1c04,想要cc1cp4p source🙆🏻‍♂️,Pm?,8,23,,,,,
CC1M38P靚 grade?,收source,好讀？,今個sem reg咗，求source,1,14,,,,,
有冇人而家summer 讀緊ME1D01,有essay + present ppt 平放,pm,pm,1,6,,,,,
放CBS2631 Korean 1 書,輕輕一推,Pm,Pm 我,1,11,,,,,
放a/b range source,Pm,Pm,"AF2108 Financial AccountingAF3513 Business LawCLC3221P Chinese Language Communications for BusinessELC3221 Workplace English for Business students 1ME1D02 Products and materials in modern society AF3110 Intermediate Accounting 1AF3112 Management Accounting 2AF3113 Business FinanceAF3507 Company LawELC3222 Workplace English for Business students 2AF4513 Corporate social Responsibility AF4320 Corporate finance MM4311 Strategic management AF3316 Investment AF4228 AUDITING AF3111 IA2有自製Notes, assignments, group projects (如有), Mid term test, exam有意直接pm",1,27,,,,,
polyu有無畢業袍借？,"Faculty of Science, 金色邊畢業袍，有意租／買 請pm~",,,,,,,,1,2
有冇人想團購畢業袍,"Faculty of Science, 金色邊畢業袍，有意租／買 請pm~",Hi,,,,1,12,,,
畢業袍去邊間買好,"Faculty of Science, 金色邊畢業袍，有意租／買 請pm~",U can ask fbsa people,,,,2,5,,,
平放ME1D02 source,Lab projectMini project Overall A,Lab projectMini project Overall A,火圈,1,55,,,,,
放所有AF source,放所有AF source Join gp 一陣pm 你https://t.me/+w5Ab7DC4P3syNDI1,,,,,,,,1,1
放a grade ME1D02 source,pm,pm,Pm,1,8,,,,,
收lgt3016 source,pm,A+ pm pls,,,,1,6,,,
放claw書,15th edition,9成新 highlight左notes度既重點有需要可以俾埋notes,,,,1,2,,,
求LGT3016 source,Pm,Want pm plz,,,,1,11,,,
收CLC3221 source,Pm,pm,Pm,1,9,,,,,
放CLC3221/C Law/ AF3316 source,Pm,pm,pm,1,5,,,,,
舊hall15樓 中國女日日成晚打機同埋電話吵人,呢幾週冇人，但佢哋好似仲會住summer term,,,,,,,,1,1
收ME1D02 source,pm,pm,pm,1,14,,,,,
免費派 C law B law 書,"Add telegram, 免費摞 C law B law 書",,,,,,,,1,1
收ME1D01 source,Pm plz,Pm 我有,pm please,1,27,,,,,
故宮實習面試,有冇人有join就黎面試,,,,,,,,1,1
25歲+仲讀緊書入黎互相識下,讀緊咩科,X2,我都90後有冇興Tg圍爐,3,8,,,,,
買暑sem嘅ABCT1D10🥺,pm,a+咗,好讀,1,4,,,,,
ITC1A01有冇得走堂？,見佢宜家f2f要點名嘅,疫情前定後讀？,全走 A-,2,3,,,,,
學校個泳池係咪學生就入得？￼🧐🧐,Alumni要買運動設施年費,拍卡就入得,想問吓學校個泳池係咪學生就入得？使唔使做啲咩手續或者登記？Thanks 🙏🏻🙏🏻,1,3,,,,,
暑sem 有冇男仔pair up (紅磡）,咩hall,,,,,,,,1,1
Lgt3016係咪全世界都靚grade,pm,係，拎A+,sell a range source?,2,6,,,,,
政府intern academic transcripts,個個post唔同requirement 建議直接問,我想請問下申請政府intern 是不是要花70蚊買official 的academic transcripts？還是直接交Assessment Results就好？,,,,1,2,,,
出claw A range source,pm,Want claw,,,,1,2,,,
BRE206 大家係咪都爛grade,Online年代攞過A+,讀幾多書都冇用最後咪又係做地盤手joke,B-,1,5,,,,,
想問下CBS1CN12P伏唔伏?,"If you think the course is hard to handle ,then yiu can drop it now",Reg 左想知,,,,1,2,,,
fun with language grading,求source,我係寫普教中,今個Summer sem A grade,1,7,,,,,
Life and Death 總分,B,Total 幾多先有A-？,A-,1,11,,,,,
ME1D01 放A range source,$100 exam+present+essay,幾錢,Pm,1,3,,,,,
有冇人讀過BME2S04S？,唔可以 我果陣係5人1組 基本上完全random 不過！填form會問你有無frd有既話最多填1個frd咁果個frd就一定同你1組除此以外其他都係運氣,lm,呢科有轉過人教？,1,13,,,,,
(求救！！！)有冇人未讀Car English？,我係冇你呢科🥲,因為唔知係唔係新制嘅問題，我得3科揀…,我見me1d02仲有位,1,12,,,,,
補考會唔會用返份舊卷,唔會囉 正常會難啲,睇咩科，我之前個professor話如果要補考，佢就要重新出一份完全唔同但要同難度既，所以提醒我地無咩特別野就唔好補考😂,🥲🥲🥲,2,16,,,,,
收ENGL2B02 source,有冇人有呢科source pm plz,,,,,,,,1,1
放ENGL2B02 有EREW Car B,Pm,有意 TG: mictx,求！！ 好急😢,3,4,,,,,
ME1D01 放sources,Pm,Pm,Pm,6,135,,,,,
有冇人收ENGL/CBS source?,Pm,Pm,,,,3,9,,,
apss1bn15 global china,放A+ source,,,,,,,,1,1
LGT2106 出grade討論區,讀完 做晒咁多份嘢，就係冇任何一份嘢係知道自己攞咩分🙂,唔似 要問下😭,咁可能你final炒左,1,12,,,,,
__,想知,u？,有,7,,,,有冇人FA攞F？,,
收LGT4012 a range source,收LGT4012 a range source,,,,,,,,1,1
求LGT4017 source,求LGT4017 source,,,,,,,,1,1
收ENGL2BN02 source,有冇人有？pm,,,,,,,,1,1
想要￼APSS1BN11或者ENGL2BN02￼source,如果有APSS1BN11或者ENGL2BN02 source Pm我,,,,,,,,1,1
[招c] 一齊返 event part time,"MK, 27, 28, 31/59:30am - 8:30pm $60Smart casual會展, 30/511:00am - 10:00pm $70Formal dressing想返工冇咁悶，識下friend各位絲打如果啱啱完成就得閒，歡迎報名我幫你轉介畀招聘者我都係早幾日，上網搵到event helper嘅工，之後HR就問我有冇其他同學想join，所以睇下識唔識到人有意請pm 我, 讓我及早forward 比人利申: 識下網友，現實工作見一兩次面，做到fd可以keep 住傾計，if cant, hi bye 都ok🙈😂",,,,,,,,1,1
MA2,are u dicky👀,要黎做咩,我A+,1,10,,,,,
Tax Jody wong,其實唔係反串，有俾佢教過就知道佢幾好。雖然佢上堂節奏真係好快。,呢個真係好老師！,世一,1,11,,,,,
CAR B 求靓car介绍，要求EW,你的grade係?,Jack Chun 尊重拉,Jack chan?,1,16,,,,,
fb sem2 exchange,thx！！🤩,Apply Sem 1 exchange，30/1 interview 14/2 result 比你參考,有冇人知interview完 幾耐會有result😟,1,3,,,,,
COMP Capstone Project Grade,我：B+,,,,,,,,1,1
有冇人試過成功Appeal?,Appeal 前，係咪可以對下卷？,我final year 成功左 F轉D,可唔可以dm 下我🙏🏼🙏🏼,9,13,,,,,
ABCT1D12 CSI,唔伏,有冇人知呢科伏唔伏？上堂會唔會好boring？同埋assignment難唔難🙏🙏,,,,1,2,,,
漏寫兩個citation 最後得c,我有幾次都無比prof捉😂我依家先知原來reference list同in text citation 要一樣 是但一邊都唔可以漏🥲,咁仲正常,Engl,1,8,,,,,
有無人試過appeal完低分左￼,應該第一日冇返學嗰啲先會問 第一日已經講咗俾錢appeal係唔會扣分,,,,,,,,1,1
放Car  A grade source,pmpm,HTM1A01ITC1A01CBS2C04PCC1C04P都有A grade source有意請pm,,,,2,2,,,
__,每個professor嘅做法都唔同,Exam會出分？,Fce入面嘅外國professor教嘅科,2,38,,,80.x但係得b+ appeal大唔大機會升grade,,
四大名著,咁你最後咩grade?,因為online test，我擔心curve好高,85 點會冇A-,7,,,,,,
計gpa,應該話全部都計晒,WGPA計埋level,係咪淨係計credit唔計level?,1,3,,,,,
AF4320 出grade,blackboard有,你點知exam 分？,85,2,5,,,,,
Blaw 咩grade,有冇人F,有冇人覺得俾錯grade,,,,1,2,,,
LMS capstone project grade,push,,,,,,,,1,1
Lms capstone project分數,有冇人A🙈,,,,,,,,1,1
AP10006 F咗點算😢,再讀過囉,,,,,,,,1,1
未出分😭,真,不如大家係度報返邊科未出分,唔使驚 可能聽朝先出呢,1,4,,,,,
Gpa calculator 準唔準？,"For example level 3-4 the weight is higher, so it affect the final score",U need to calculate by the weighting,No la,1,4,,,,,
$200 即pay 職業導向問卷,Pm ed,Dm,pm,1,51,,,,,
poly住hall有野問,我173都係啱啱好伸得直仲有少少位剩,yes 身高175以上基本上瞓唔到/要屈曲隻腳 或者你直頭將張床褥放喺地下 喺地下瞓仲舒服,175 啱啱頂腳少少,1,8,,,,,
Srs通常幾多分先會繼續住到hall？🙇🏻‍♀️,頂我之前有15分仲以為自己好高🤣🤣,冇~,45係咪冇咩機🥹🥹🥹🙇🏻‍♀️🙇🏻‍♀️,1,7,,,,,
叫咩名嘅女仔一定係靚女,Regina Ip,Carrie Lam,,,,2,20,,,
有冇人試過學生證轉相,好似冇得😂,唔見左張卡要補領 反正都要比錢係咪有得轉埋相🤧,,,,1,2,,,
Fhss defer一問,我都想知🥲🥲🥲,如果year 1-2有pre-requisite嘅科fail 咗 仲有冇得同其他人同一時間出placement 會唔會到最後要遲一年grad？,,,,2,2,,,
EY Summer Internship 2023,你幾in?,收到了,y3係咪大機率會有offer？,1,21,,,,,
大家搵intern用linkedin 定job board?,Job board la,LinkedIn,,,,1,2,,,
招聘全職兼職，客戶服務員￼,"招聘客戶服務員底薪+佣金月入可達$10,000-$30,000另加新人獎金$3000起 (視員工表現而定）主要以電話聯絡客戶，了解客戶需求及解答查詢，與客戶建立良好關係。解答及處理查詢電話，提供解決方案無須經驗，提供在職培訓，良好晉升機會返工地點：油尖旺區返工時間：12點~8點，Part-time 可與經理編更夾時間主要要求中三程度，18歲以上，主動積極勤奮，有上進心及責任感，具團隊精神，良好溝通及電話應對技巧，操流利粵語，歡迎應屆DSE畢業生,在讀大學生大專生安排見工 ，有銷售經驗,18-25歲優先考慮歡迎查詢 電話☎️95796742 韋小姐洽https://Wa.me/85295796742/?text=您好有意面試（申請人所提供的資料將絕對保密及只作招聘用途）",,,,,,,,1,1
☠,GPA god🫡,等偷跑,又唔係dereg,5,,,,點樣知道自己有冇F ￼grade ?,,
[認真投票] 大家由入poly總共Fail過幾多科,係計由入U開始到依家呢一刻攞過幾多個F,,,,,,,,1,1
買下年宿位 男,Push 13號last day,Pppppp,賣既pm me,1,6,,,,,
有冇人去過accounting firm interview,有,Local firm only,邊間,1,8,,,,,
poly西醫睇皮膚,Laser先清到,痘印要手術/等時間清,去過兩次 冇咩用 開啲藥去唔到痘印😂,1,11,,,,,
elc1013 mary cheng 给分松吗？,同個西一樣,native speaker仲使take呢科咩🧐,這個帖子又用普通話。簡體字我就不會打了,1,14,,,,,
IRD intern nomination,最後你有冇收到,samesend左reply form之後 冇再收到任何嘢,我都想知,1,32,,,,,
出elc1013 A- source(A-和A的essay),"出兩篇essay,一篇成績A-,一篇A。tutor為denise Chueng,主題為gender discrimination in the workplace communication",,,,,,,,1,1
點解考試題目出功課改數字都有半班唔識做？,所有AF 科,好難,Bfin?,2,5,,,,,
__,點解？,自己又唔係好睇嗰班人 咪就係柒頭皮 成日以貌取人 加上戴口罩 你柒都變好睇啦戇鳩,屌你老味真係戇鳩鳩,3,45,,,想問下大家￼建議入￼邊個hall？點解？🙋🏻‍♀️,,
想知邊間hall好啲🙏🏻🙏🏻,你又唔係靚女,邊間多靚仔？！,隔離hall正好多，有冇睇過勵志成德ev d 女,1,41,,,,,
Polyu hd to polyu degree year3,E student 係Student ID 唔係,介唔介意問下 hd升degree係咪同一個student id同e estudent同一個system,Ok thx,1,12,,,,,
ISE3001 operation research,有冇人讀過可以話我知咩grade...份exam卷同test完全唔同樣而家好驚F,,,,,,,,1,1
IA2 Exam 幾分？,要自己減,咁快有分？,,,,1,2,,,
Af wie nom,Ic,未申請grad嘅話會,Anyone knows,1,5,,,,,
幾時派grade?,Pm,問prof,有冇方法提早睇到grade,1,5,,,,,
平放Bre206 source,Pm,Have a range source pm if interested,,,,1,2,,,
__,係我㗎 已經攞翻了！你介唔介意俾你嘅payme我 我俾翻少少感謝費你啊！😓🙏,,,,,,,薄酬！4月28唔見咗個銀包 有冇朋友仔執到,2,11
搵巴玩捆綁/sm 本人巴,pm,Rika,,,,1,21,,,
收audit exam Q&A,有既Pm me,,,,,,,,1,1
ME22003 A+ source,有individual有group report最後成績A+,,,,,,,,1,1
暑sem可唔可以加開科 (af),Lm,bfin,點樣可以既,1,10,,,,,
有周杰倫演唱會門票，pm me if you want,pm,pm,pm,1,8,,,,,
有冇下年Sem1去Sweden Exchange？,Pm?,有,me jonkoping,1,8,,,,,
__,廢青,應該去賣下淫先,據知11月先有畢業典禮拎證書，想知大家會唔會做住全職等畢業典禮拎證書？還是去旅行玩下先？好奇想知，可以傾下計🤭,1,3,,,有排先畢業典禮，呢段期間大家有咩做,,
__,"放 BRE A range sources, pm if interested",Pm,Pm,1,8,,,￼放BTMS A range source,,
求audit past exam paper連ans,Pm,冇人應😭,pm,1,36,,,,,
GPA好撚低點搵intern😔,邊間😨,我之前個intern冇問GPA phone interview 問咗幾條問題就俾offer😂,唔得,1,10,,,,,
AF3313有無grade,而家點知？,F2f考 f咗,得b+,1,12,,,,,
放A grade cfin sources,Pm,Pm please,火圈,1,25,,,,,
__,pm,Pm,pm,1,26,,,放BSE source,,
懷疑考試去廁所出貓,不過唔出貓都過3.6,著兩條褲擺手機入面條褲都得。,師兄係天真過天真嬌 真係巧得意唧你,2,13,,,,,
有冇interior design同學想翻part time,唔係interior design 同學可唔可以架？,有興趣可以pm,,,,1,2,,,
收af3316 investment source,MA2,me2,Me 2,2,5,,,,,
放company law書,要既dm,15th edition,,,,1,14,,,
F咗一科係點計？,"1,去睇吓student handbook",Push,真唔真 cgpa咁計㗎咩,1,8,,,,,
⛑,Pm,"我都有BRE yr1-4 A sources, 有意pm",Pm,1,6,,,BTMS/BTME Year1-year2,,
有無人用 AI 做功課？,淘寶都有,可以,十萬火急,3,37,,,,,
求lgt3102 source,Pm,pm plaz,PM plz,1,15,,,,,
AMA Gard din 衣著,唔去  一堆毒j,唔去啦咁麻煩,女仔返office 工一般唔係著 suit 個喎,3,10,,,,,
Deloitte Nominate,有friend之前做過big4 就算gpa 高都收唔到deloitte nom,你in左？,未有消息,2,16,,,,,
AF4317 exam,Professor有冇講過出幾多題？ 無最後個堂既recording,,,,,,,,1,1
得second low其實係咪好廢？？￼,ama major畢到業就得啦😂😂 好難高gpa㗎喎 啲數科又唔拉curve,Ama唔睇gpa㗎咩😨咁睇咩,Second low即係過3？定幾多,1,8,,,,,
收LGT2425、AF3211 final exam,pm,pm,pm,1,9,,,,,
htm1e02嘅final exam俾分點樣,😢😢😢😢,利申：唔識 真係唔識,有都唔同你講啦 科科玩拉curve 教精你咪死,1,5,,,,,
啊！！！！！！！,第,睇一科已死,吓 我都會講文盲喎,1,11,,,,,
☠,pm,Pm,Pm,1,7,,,仲有兩日 你今日拜左Simon Chee 未,,
！收442 final exam pp（19年打後,🙏🙏🙏,,,,,,,,1,1
AF4106 exam,有冇人有21~22 exam Q&A ？🙏,,,,,,,,1,1
ITC2019M Fashion Business Exam,Push,一題$5,歷屆試題也可,1,6,,,,,
求bre364考試source,Pm,Pm,請撳火圈,2,48,,,,,
放derivative security sources,Pm,Can you leave yr tg,Pm,1,20,,,,,
bfin大家考成點,幾好,冇ans分,希望有佢,2,14,,,,,
AF4320 cfin exam,CFin 有冇make up exam,考得好差，本身mt已經麻麻地，跟住final都咁上下，肯定肥硬🙃,要defer了,2,13,,,,,
Lgt2106有冇exam source,想收+1,有既話收,,,,1,2,,,
收BRE349 217 263 269 source,"ok, plz click 火圈",Pm,can pm me,1,23,,,,,
買BRE364 A+ source,Pm,"可pm, 請撳火圈",同求🙏🏻🙏🏻,1,19,,,,,
收 BRE 364 exam source ‼️,"pm, 請撳火圈",Pm,如果有source麻煩pm我 thanks!!!,2,3,,,,,
放 APSS2S09/S: A source,"ok, can click 火圈",Pm,,,,2,2,,,
__,今個sem準備F第二次,早知之前online讀就唔使依家搞到咁,今年讀,4,15,,,統計: BFin grade,,
收Af3316 source,pm thx,pm,有意pm,1,3,,,,,
收 af3316 investment source,主要想收final exam,,,,,,,,1,1
__,Yes Hugo1999,怕羞仔嘛，所以宜家咪揼哂心口🥲,點解唔當場問呢😂,2,4,,,想搵Elc3222 class rep,,
放CLC3221商業中文 A- source,$50 放,$50 放,$50 放,1,78,,,,,
放bre263source,有意pm,,,,,,,,1,1
__,"有 BRE263 BRE2031 exam A source, pm if interested",Bre2031 A+ source. Pm if interested,Pm,1,28,,,⭐尋 BRE263 BRE2031 source,,
放business finance A source,Pm,pm,pm,1,29,,,,,
有冇人試過國泰intern,想知一般幾高要求 同幾耐有消息🙏🏿,,,,,,,,2,1
__,老尖先多啲,去尖東,買定啲嘢返去食好過啦,1,4,,,Poly凌晨有咩食,,
求BSE source🙏🏻🙏🏻,禁火圈,Hello,,,,1,4,,,
有冇人有big four offer,"等on board la, 暑假係需要好好享受",你未屌過條女緊係唔知條女好唔好屌啦😂,一定要屌過先可以屌你咩😂 利申： 未屌過,5,29,,,,,
邊度玩到ChatGPT?,之前有media問過校方 你搵返個po 好似話原則上可以,捉啲咩？冇嘢可以捉喎 用ai唔係抄襲 你只係冇嘢搵嘢嚟驚 個個表面上話唔用 實則自己用仲要攞曬高分 根本冇人講過唔畀用 亦冇人捉 之後喺度叫人唔好用擾敵,用左 要點執 執幾多 先唔比人捉 捉左後果系點 咪自己衡量 咁大個人,4,18,,,,,
AO summer intern 2023,有冇人有消息？😖🙏🏻,,,,,,,,2,1
Elc 2011 2012 2013 2014,有 ELC2014 source，可pm,平放2011 a range source,ELC槍手 有需要可以搵我🔥,6,43,,,,,
"比poly nom 咗 intern, 係咪大機會請？",PwC都係,有冇人nom左Deloitte？,audit?,1,23,,,,,
放ama1501 source,pm,Sorry想問吓有冇20/21年 sem2嘅？🙏,Prof唔係本身就有past paper比我地咩😂😂,1,5,,,,,
__,真,0活動,對比舊hall算唔算多活動呢?,6,14,,,有冇人住新hall好悶 ?,,
__,Pm,Pm,係咪有a grade source,1,4,,,求APSS1L01 source 🙏🏻🙏🏻🙏🏻,,
求Comp1004 A+ Essay source,A+ source have prove,搞不掂 有無師兄師姐做過 嗰grade又靚仔？😣 （SFT同學、心急人上）,,,,1,3,,,
放 MM1031,Pm,Hi,Pm,1,5,,,,,
有冇人試過exam F左￼，但係最後都pass,我都試過 所以應該係拉curve,同意 講就absolute Grading 事實會拉curve,咪~45-50,1,17,,,,,
